ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
60310,3S,KOSDAQ,중견기업부,2365,40,1.72,2335,2455,2335,0,600557925,1.15E+11,49
95570,AJ네트웍스,KOSPI,,6710,10,0.15,6700,6840,6650,0,749172040,3.14E+11,47
6840,AK홀딩스,KOSPI,,17890,0,0,17700,17890,17600,0,157362510,2.37E+11,13
54620,APS홀딩스,KOSDAQ,중견기업부,14010,30,0.21,14150,14440,13870,0,1075605830,2.86E+11,20
265520,AP시스템,KOSDAQ,우량기업부,19740,-50,-0.25,19890,20000,19700,0,1115486480,3.02E+11,15
211270,AP위성,KOSDAQ,벤처기업부,15090,-660,-4.19,15580,15580,14990,1,14294169770,2.28E+11,15
27410,BGF,KOSPI,,4260,-50,-1.16,4355,4360,4255,0,296785285,4.08E+11,96
282330,BGF리테일,KOSPI,,189300,-1100,-0.58,189600,191500,188500,0,2019163100,3.27E+12,17
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,5480,-40,-0.72,5750,5750,5440,0,1887562610,1.62E+11,30
138930,BNK금융지주,KOSPI,,6930,70,1.02,6900,6950,6830,1,4239624580,2.26E+12,326
1460,BYC,KOSPI,,371500,1000,0.27,372000,372000,367500,0,1482000,2.32E+11,1
1465,BYC우,KOSPI,,141100,700,0.5,141300,141300,141100,0,423700,30390823500,0
13720,CBI,KOSDAQ,중견기업부,363,-1,-0.27,365,369,359,2,580106946,98166870087,270
1040,CJ,KOSPI,,82900,600,0.73,82100,82900,81600,0,884172600,2.42E+12,29
79160,CJ CGV,KOSPI,,19280,-60,-0.31,19310,19330,19010,0,1465966560,9.20E+11,48
35760,CJ ENM,KOSDAQ GLOBAL,우량기업부,112700,6100,5.72,107000,112800,106100,0,11391199000,2.47E+12,22
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,29700,-100,-0.34,29800,30250,29550,0,60754550,1.75E+11,6
00104K,CJ4우(전환),KOSPI,,72200,-300,-0.41,72200,72400,71500,0,115550800,3.05E+11,4
120,CJ대한통운,KOSPI,,91800,1400,1.55,90400,93300,89800,0,3933399600,2.09E+12,23
11150,CJ씨푸드,KOSPI,,3245,20,0.62,3230,3265,3225,0,453376055,1.17E+11,36
11155,CJ씨푸드1우,KOSPI,,27000,150,0.56,26850,27000,26850,0,2256750,5400000000,0
1045,CJ우,KOSPI,,50000,0,0,50300,50300,50000,0,18651300,1.13E+11,2
97950,CJ제일제당,KOSPI,,347000,4500,1.31,342500,348000,342000,0,10692225500,5.22E+12,15
97955,CJ제일제당 우,KOSPI,,165500,400,0.24,165300,165500,164600,0,127290400,2.20E+11,1
51500,CJ프레시웨이,KOSDAQ,중견기업부,34950,100,0.29,34850,35150,34450,0,1611555450,4.15E+11,12
58820,CMG제약,KOSDAQ,중견기업부,2330,-15,-0.64,2340,2350,2315,0,459577605,3.24E+11,139
23460,CNH,KOSDAQ,중견기업부,2525,-10,-0.39,2550,2565,2490,0,14698060,93930000000,37
