itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
60310,3S,KOSDAQ,중견기업부,2325,-25,-1.06,2340,2345,2320,18136,42,112848,48536642
95570,AJ네트웍스,KOSPI,,6650,-50,-0.75,6650,6750,6550,48809,325,311368,46822295
6840,AK홀딩스,KOSPI,,18050,-40,-0.22,17860,18090,17790,4911,88,239118,13247561
54620,APS홀딩스,KOSDAQ,중견기업부,13950,-400,-2.79,14350,14350,13810,51452,720,284499,20394221
265520,AP시스템,KOSDAQ,우량기업부,19480,-130,-0.66,19610,19750,18900,27035,524,297682,15281421
211270,AP위성,KOSDAQ,벤처기업부,15220,-300,-1.93,15970,16800,15050,3386226,54639,229553,15082304
27410,BGF,KOSPI,,4320,15,0.35,4300,4325,4280,15955,69,413497,95716791
282330,BGF리테일,KOSPI,,186700,-4200,-2.2,189200,190200,186100,4567,856,3226905,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,5710,210,3.82,5480,5890,5480,373645,2149,168650,29535894
138930,BNK금융지주,KOSPI,,6860,-40,-0.58,6900,6900,6780,465782,3183,2235916,325935246
1460,BYC,KOSPI,,371500,2000,0.54,371500,371500,371500,1,0,232044,624615
1465,BYC우,KOSPI,,141000,0,0,140000,141000,140000,14,2,30369,215385
13720,CBI,KOSDAQ,중견기업부,377,14,3.86,363,388,361,6074442,2263,101953,270432149
1040,CJ,KOSPI,,82800,100,0.12,83100,83100,81500,11615,956,2415855,29176998
79160,CJ CGV,KOSPI,,19510,210,1.09,19220,19530,19100,68311,1321,931056,47721975
35760,CJ ENM,KOSDAQ GLOBAL,우량기업부,112700,-3400,-2.93,115900,115900,112000,71575,8105,2471416,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,29350,-250,-0.84,30250,30250,29150,2223,65,172539,5878672
00104K,CJ4우(전환),KOSPI,,72100,-600,-0.83,73100,73100,71600,635,46,304732,4226512
120,CJ대한통운,KOSPI,,90300,-1600,-1.74,91400,91400,90000,17545,1588,2059955,22812344
11150,CJ씨푸드,KOSPI,,3210,-5,-0.16,3205,3290,3160,155024,499,115338,35930773
11155,CJ씨푸드1우,KOSPI,,26950,100,0.37,26800,26950,26800,61,2,5390,200000
1045,CJ우,KOSPI,,49900,-100,-0.2,50000,50100,49750,336,17,112785,2260223
97950,CJ제일제당,KOSPI,,347500,-1000,-0.29,348500,349000,345000,13500,4689,5231330,15054186
97955,CJ제일제당 우,KOSPI,,165100,-700,-0.42,166400,166400,164900,542,90,219159,1327433
51500,CJ프레시웨이,KOSDAQ,중견기업부,34450,-550,-1.57,34800,34900,34200,24915,859,408976,11871586
58820,CMG제약,KOSDAQ,중견기업부,2315,-40,-1.7,2360,2360,2305,190458,442,321536,138892244
23460,CNH,KOSDAQ,중견기업부,2510,-25,-0.99,2535,2535,2490,6891,17,93372,37200000
56730,CNT85,KOSDAQ,관리종목(소속부없음),3100,0,0,0,0,0,0,0,110512,35648956
65770,CS,KOSDAQ,벤처기업부,1657,-6,-0.36,1672,1672,1646,9103,15,32164,19411130
83660,CSA 코스믹,KOSDAQ,중견기업부,1055,-14,-1.31,1063,1063,1046,11495,12,41621,39451193
590,CS홀딩스,KOSPI,,64400,0,0,64400,64400,63700,391,25,74349,1154482
12030,DB,KOSPI,,952,8,0.85,942,955,932,257644,244,191518,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2045,0,0,2040,2045,2030,112,0,11943,5840000
367340,DB금융스팩8호,KOSDAQ,SPAC(소속부없음),2020,-10,-0.49,2020,2020,2020,7000,14,12221,6050000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),2065,0,0,2065,2065,2065,11232,23,9995,4840000
16610,DB금융투자,KOSPI,,4465,-125,-2.72,4580,4580,4440,35130,157,189523,42446389
5830,DB손해보험,KOSPI,,65000,200,0.31,64300,65100,63600,33332,2146,4602000,70800000
990,DB하이텍,KOSPI,,45400,-800,-1.73,45650,45750,45200,136939,6225,2015696,44398588
